"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2017","6,862.48","6,820.55","6,862.66","6,820.02","465.90M","1.06"
"Nov 20, 2017","6,790.71","6,789.28","6,795.83","6,779.48","437.87M","0.12"
"Nov 17, 2017","6,782.79","6,794.45","6,797.75","6,777.43","493.18M","-0.15"
"Nov 16, 2017","6,793.29","6,742.34","6,806.67","6,742.34","476.98M","1.30"
"Nov 15, 2017","6,706.21","6,700.68","6,725.32","6,667.31","457.21M","-0.47"
"Nov 14, 2017","6,737.87","6,733.87","6,743.63","6,709.27","462.99M","-0.29"
"Nov 13, 2017","6,757.60","6,727.39","6,766.30","6,723.43","462.89M","0.10"
"Nov 10, 2017","6,750.94","6,736.39","6,757.35","6,727.35","464.51M","0.01"
"Nov 09, 2017","6,750.05","6,737.45","6,758.93","6,687.28","517.86M","-0.58"
"Nov 08, 2017","6,789.12","6,764.85","6,791.65","6,753.34","509.54M","0.32"
"Nov 07, 2017","6,767.78","6,785.44","6,795.52","6,750.35","531.06M","-0.27"
"Nov 06, 2017","6,786.44","6,763.30","6,790.66","6,763.17","524.23M","0.33"
"Nov 03, 2017","6,764.44","6,737.09","6,765.14","6,712.93","521.39M","0.74"
"Nov 02, 2017","6,714.94","6,709.39","6,719.97","6,677.55","533.72M","-0.02"
"Nov 01, 2017","6,716.53","6,758.64","6,759.66","6,691.48","491.99M","-0.17"
"Oct 31, 2017","6,727.67","6,713.71","6,737.75","6,705.79","509.98M","0.43"
"Oct 30, 2017","6,698.96","6,693.77","6,727.39","6,677.15","477.43M","-0.03"
"Oct 27, 2017","6,701.26","6,635.03","6,708.13","6,625.78","566.65M","2.20"
"Oct 26, 2017","6,556.77","6,567.59","6,582.76","6,550.03","496.86M","-0.11"
"Oct 25, 2017","6,563.89","6,587.22","6,600.65","6,517.93","493.72M","-0.52"
"Oct 24, 2017","6,598.43","6,598.60","6,611.90","6,582.06","421.46M","0.18"
"Oct 23, 2017","6,586.83","6,641.57","6,641.57","6,581.15","417.64M","-0.64"
"Oct 20, 2017","6,629.05","6,633.37","6,640.02","6,622.92","457.36M","0.36"
"Oct 19, 2017","6,605.07","6,583.70","6,605.29","6,558.53","424.74M","-0.29"
"Oct 18, 2017","6,624.22","6,634.26","6,635.52","6,613.55","390.34M","0.01"
"Oct 17, 2017","6,623.66","6,621.42","6,628.60","6,613.21","375.08M","-0.01"
"Oct 16, 2017","6,624.01","6,622.55","6,632.50","6,607.03","373.94M","0.28"
"Oct 13, 2017","6,605.80","6,613.21","6,616.58","6,602.20","417.54M","0.22"
"Oct 12, 2017","6,591.51","6,594.76","6,613.50","6,586.32","476.36M","-0.18"
"Oct 11, 2017","6,603.55","6,586.73","6,604.21","6,577.98","429.37M","0.25"
"Oct 10, 2017","6,587.25","6,602.49","6,608.30","6,561.78","401.70M","0.11"
"Oct 09, 2017","6,579.73","6,597.37","6,599.34","6,572.44","359.14M","-0.16"
"Oct 06, 2017","6,590.18","6,566.95","6,590.18","6,566.84","410.59M","0.07"
"Oct 05, 2017","6,585.36","6,552.87","6,587.21","6,547.65","422.21M","0.78"
"Oct 04, 2017","6,534.63","6,521.96","6,546.46","6,513.12","434.61M","0.04"
"Oct 03, 2017","6,531.71","6,523.74","6,532.18","6,509.71","438.92M","0.23"
"Oct 02, 2017","6,516.72","6,506.08","6,527.22","6,484.14","448.11M","0.32"
"Sep 29, 2017","6,495.96","6,461.28","6,497.98","6,454.86","492.43M","0.66"
"Sep 28, 2017","6,453.45","6,437.96","6,456.23","6,427.66","428.05M","0.00"
"Sep 27, 2017","6,453.26","6,414.37","6,472.65","6,405.35","470.98M","1.15"
"Sep 26, 2017","6,380.16","6,391.85","6,405.01","6,364.57","439.70M","0.15"
"Sep 25, 2017","6,370.59","6,403.11","6,408.06","6,343.96","486.99M","-0.88"
"Sep 22, 2017","6,426.92","6,401.44","6,429.54","6,400.81","388.10M","0.07"
"Sep 21, 2017","6,422.69","6,448.57","6,448.57","6,405.30","400.64M","-0.52"
"Sep 20, 2017","6,456.04","6,459.74","6,466.05","6,414.23","470.40M","-0.08"
"Sep 19, 2017","6,461.32","6,465.57","6,467.79","6,446.75","430.73M","0.10"
"Sep 18, 2017","6,454.64","6,460.10","6,477.77","6,438.41","445.50M","0.10"
"Sep 15, 2017","6,448.47","6,426.16","6,464.27","6,419.65","1.19B","0.30"
"Sep 14, 2017","6,429.08","6,439.46","6,455.32","6,424.04","430.37M","-0.48"
"Sep 13, 2017","6,460.19","6,440.72","6,460.42","6,433.20","447.20M","0.09"
"Sep 12, 2017","6,454.28","6,448.81","6,455.02","6,429.54","404.69M","0.34"
"Sep 11, 2017","6,432.26","6,411.18","6,439.11","6,410.71","431.57M","1.13"
"Sep 08, 2017","6,360.19","6,389.65","6,391.41","6,354.96","408.11M","-0.59"
"Sep 07, 2017","6,397.87","6,402.94","6,413.07","6,379.81","433.05M","0.07"
"Sep 06, 2017","6,393.31","6,394.35","6,407.40","6,356.20","419.28M","0.28"
"Sep 05, 2017","6,375.57","6,414.82","6,426.51","6,334.59","438.96M","-0.93"
"Sep 01, 2017","6,435.33","6,442.17","6,449.65","6,417.87","347.64M","0.10"
"Aug 31, 2017","6,428.66","6,385.80","6,435.27","6,383.58","478.19M","0.95"
"Aug 30, 2017","6,368.31","6,308.68","6,374.48","6,303.57","384.51M","1.05"
"Aug 29, 2017","6,301.89","6,228.90","6,311.26","6,228.73","379.62M","0.30"
"Aug 28, 2017","6,283.02","6,286.01","6,292.26","6,267.85","384.99M","0.28"
"Aug 25, 2017","6,265.64","6,293.81","6,308.72","6,257.10","343.10M","-0.09"
"Aug 24, 2017","6,271.33","6,294.82","6,302.85","6,244.57","369.11M","-0.11"
"Aug 23, 2017","6,278.41","6,263.47","6,291.30","6,263.28","349.56M","-0.30"
"Aug 22, 2017","6,297.48","6,241.21","6,302.84","6,241.21","363.16M","1.36"
"Aug 21, 2017","6,213.13","6,216.32","6,226.93","6,177.19","375.22M","-0.05"
"Aug 18, 2017","6,216.53","6,222.46","6,254.22","6,193.38","469.44M","-0.09"
"Aug 17, 2017","6,221.91","6,322.72","6,334.23","6,221.91","435.27M","-1.94"
"Aug 16, 2017","6,345.11","6,348.11","6,374.56","6,330.27","396.20M","0.19"
"Aug 15, 2017","6,333.01","6,350.51","6,350.74","6,324.75","368.07M","-0.11"
"Aug 14, 2017","6,340.23","6,306.11","6,346.82","6,305.55","410.78M","1.34"
"Aug 11, 2017","6,256.56","6,222.18","6,266.89","6,216.19","418.07M","0.64"
"Aug 10, 2017","6,216.87","6,312.65","6,318.28","6,214.41","495.54M","-2.13"
"Aug 09, 2017","6,352.33","6,322.92","6,355.04","6,309.44","469.74M","-0.28"
"Aug 08, 2017","6,370.46","6,373.33","6,423.35","6,355.88","445.32M","-0.21"
"Aug 07, 2017","6,383.77","6,361.06","6,386.03","6,356.23","408.69M","0.51"
"Aug 04, 2017","6,351.56","6,350.79","6,361.49","6,329.73","443.76M","0.18"
"Aug 03, 2017","6,340.34","6,366.24","6,368.53","6,331.14","476.05M","-0.35"
"Aug 02, 2017","6,362.65","6,393.10","6,394.21","6,313.43","490.37M","-0.00"
"Aug 01, 2017","6,362.94","6,372.16","6,375.75","6,345.75","426.55M","0.23"
"Jul 31, 2017","6,348.12","6,394.69","6,396.59","6,338.78","485.92M","-0.42"
"Jul 28, 2017","6,374.68","6,350.27","6,379.70","6,337.23","436.77M","-0.12"
"Jul 27, 2017","6,382.19","6,459.76","6,460.84","6,318.62","564.93M","-0.63"
"Jul 26, 2017","6,422.75","6,425.93","6,432.38","6,416.30","433.53M","0.16"
"Jul 25, 2017","6,412.17","6,407.59","6,425.45","6,396.87","479.54M","0.02"
"Jul 24, 2017","6,410.81","6,387.82","6,417.70","6,380.61","418.95M","0.36"
"Jul 21, 2017","6,387.75","6,383.05","6,388.78","6,365.11","468.14M","-0.04"
"Jul 20, 2017","6,390.00","6,396.46","6,398.26","6,365.68","414.71M","0.08"
"Jul 19, 2017","6,385.04","6,363.24","6,387.73","6,362.19","423.94M","0.64"
"Jul 18, 2017","6,344.31","6,304.82","6,344.55","6,291.07","388.97M","0.47"
"Jul 17, 2017","6,314.43","6,320.35","6,330.97","6,307.34","367.32M","0.03"
"Jul 14, 2017","6,312.47","6,289.08","6,321.76","6,278.70","364.80M","0.61"
"Jul 13, 2017","6,274.44","6,269.10","6,281.45","6,251.26","423.33M","0.21"
"Jul 12, 2017","6,261.17","6,238.90","6,265.64","6,236.82","424.25M","1.10"
"Jul 11, 2017","6,193.31","6,171.25","6,200.58","6,149.87","426.66M","0.27"
"Jul 10, 2017","6,176.39","6,156.03","6,191.27","6,141.83","409.75M","0.38"
"Jul 07, 2017","6,153.08","6,111.21","6,164.94","6,111.21","397.25M","1.04"
"Jul 06, 2017","6,089.46","6,109.60","6,127.98","6,081.96","514.78M","-1.00"
"Jul 05, 2017","6,150.85","6,122.06","6,163.62","6,100.42","462.92M","0.67"
"Jul 03, 2017","6,110.06","6,173.29","6,177.36","6,106.12","272.19M","-0.49"
"Jun 30, 2017","6,140.42","6,166.84","6,170.63","6,129.04","501.47M","-0.06"
"Jun 29, 2017","6,144.35","6,215.49","6,216.60","6,087.81","528.05M","-1.44"
"Jun 28, 2017","6,234.41","6,173.10","6,238.29","6,144.80","461.44M","1.43"
"Jun 27, 2017","6,146.62","6,227.90","6,234.32","6,146.62","490.36M","-1.61"
"Jun 26, 2017","6,247.15","6,292.73","6,303.44","6,233.43","455.73M","-0.29"
"Jun 23, 2017","6,265.25","6,234.35","6,269.37","6,218.78","1.46B","0.46"
"Jun 22, 2017","6,236.69","6,239.15","6,257.68","6,221.96","471.36M","0.04"
"Jun 21, 2017","6,233.95","6,202.75","6,236.66","6,200.86","491.84M","0.74"
"Jun 20, 2017","6,188.03","6,229.62","6,234.01","6,186.94","488.69M","-0.82"
"Jun 19, 2017","6,239.01","6,196.85","6,243.31","6,194.00","447.66M","1.42"
